Priority,Issue key,Issue id,Custom field (Business Function),Status,Custom field (Actual delivery date),Summary,Custom field (Market),Created
3 Medium,MCH-4864,140998,CSC,Closed,05/12/2019 00:00,Oprava v Triton - editace,Czech Republic,23/08/2019 08:14
3 Medium,MCH-4539,135055,SSP,Closed,04/12/2019 00:00,UNO - Operator has the option to fill in a web application with the applicant and submit a full scored Lead to the field,Czech Republic,10/07/2019 15:22
3 Medium,MCH-5147,145402,Credit Risk,Closed,31/10/2019 00:00,error correction: surname of the client in addresses,Czech Republic,27/09/2019 08:44
3 Medium,MCH-4401,133388,Credit Risk,Closed,18/10/2019 00:00,CIS application: Grouping of scoring /Grupování skoringů,Czech Republic,26/06/2019 18:06
3 Medium,MCH-5038,144620,Credit Risk,Closed,17/10/2019 00:00,Black List - výmaz Adresy + RČ,Czech Republic,19/09/2019 08:25
3 Medium,MCH-5037,144617,Marketing,Closed,17/10/2019 00:00,START upgrade - oprava CIS,Czech Republic,19/09/2019 08:20
3 Medium,MCH-4937,142405,HR,Closed,15/10/2019 00:00,CSV data add (Moodle),Czech Republic,02/09/2019 15:47
2 High,MCH-619,89436,SSP,Closed,11/10/2019 00:00,MyProvi - Drop 2.5 (EET inc. - no connectivity),Czech Republic,04/10/2017 09:09
3 Medium,MCH-4784,139447,CSC,Closed,10/10/2019 00:00,HDB - k jednomu adresnímu bodu je přiřazeno více než 1 BRM,Czech Republic,13/08/2019 13:15
3 Medium,MCH-716,90780,CSC,IT Test,08/10/2019 00:00,Insolvency mode in SASPO CZ,Czech Republic,08/11/2017 11:57
3 Medium,MCH-4264,105628,Marketing,Closed,08/10/2019 00:00,Flexi,Czech Republic,21/09/2018 08:32
3 Medium,MCH-4407,133395,Marketing,Closed,08/10/2019 00:00,New product Insurance for free / Nový produkt Pojištění zdarma,Czech Republic,26/06/2019 18:19
3 Medium,MCH-4570,136321,Marketing,Closed,08/10/2019 00:00,Implementation of the discount products to current portfolio,Czech Republic,17/07/2019 14:45
2 High,MCH-4400,133387,Credit Risk,Closed,08/10/2019 00:00,Unification of employment status,Czech Republic,26/06/2019 18:04
3 Medium,MCH-4289,131793,IT Security,Closed,04/10/2019 00:00,Cockpit security issue #2,Czech Republic,13/06/2019 15:45
3 Medium,MCH-4766,139157,IT,Closed,03/10/2019 00:00,2019_GDPR_Pentest_CZ_prelaunch,Czech Republic,09/08/2019 11:22
3 Medium,MCH-4866,141000,Admin,Closed,03/10/2019 00:00,CIS - automatic data filling of on-line applications,Czech Republic,23/08/2019 08:18
3 Medium,MCH-4735,138515,Credit Risk,Closed,03/10/2019 00:00,CIS - cancelation of lower income scoring penalty,Czech Republic,06/08/2019 10:47
3 Medium,MCH-4261,116302,SSP,Closed,03/10/2019 00:00,Agent commission sheet: CIS - detailed penalty list,Czech Republic,01/02/2019 14:30
3 Medium,MCH-4393,133345,Credit Risk,Closed,03/10/2019 00:00,"Data load to CIS application (direct dependency to Agent penalties]	",Czech Republic,26/06/2019 15:46
3 Medium,MCH-4867,141001,SSP,Closed,03/10/2019 00:00,"E-report – displaying correct information about customers (16 miss, marketing consent)",Czech Republic,23/08/2019 08:20
3 Medium,MCH-4865,140999,CSC,Closed,02/10/2019 00:00,Triton change - payment holidays,Czech Republic,23/08/2019 08:16
3 Medium,MCH-5048,144777,Admin,Closed,20/09/2019 00:00,Modifying of web.config - missing keys,Czech Republic,20/09/2019 11:31
3 Medium,MCH-5036,144616,Finance,Closed,19/09/2019 00:00,Convert pro Českou poštu (text file),Czech Republic,19/09/2019 08:18
3 Medium,MCH-4262,108308,Finance,Closed,19/09/2019 00:00,Napojení TPS na tabulku Effective Date,Czech Republic,25/10/2018 15:31
3 Medium,MCH-4732,138499,Collection Strategy,Closed,19/09/2019 00:00,Saspo - Historization of reminder fields /Historizace polí v upomínkách ze Saspo,Czech Republic,06/08/2019 09:38
3 Medium,MCH-4402,133389,Credit Risk,Closed,05/09/2019 00:00,CIS application: Assigning a scoring to a loan agreement /Přiřazení skoringu ke smlouvě ,Czech Republic,26/06/2019 18:08
