Priority,Issue key,Issue id,Custom field (Business Function),Status,Custom field (Actual delivery date),Summary,Custom field (Market),Created
3 Medium,MCH-2282,106710,Admin,Closed,30/10/2018 00:00,Úprava filtru pro registrace OZ u ČNB  v Tritonu – modul Registrace OZ,Czech Republic,03/10/2018 10:46
3 Medium,MCH-2234,106512,SSP,Closed,29/10/2018 00:00,Agent Registration - filter change  in  Triton,Czech Republic,01/10/2018 12:03
2 High,MCH-2396,107688,Admin,Closed,15/10/2018 00:00,R_NCC_CUSTOMER_TAB_ADD_COMMISSION  ,Czech Republic,15/10/2018 11:51
3 Medium,MCH-2149,104565,HR,Closed,11/10/2018 00:00,LMS,Czech Republic,05/09/2018 16:58
2 High,MCH-1103,96221,Marketing,Closed,11/10/2018 00:00,We need to migrate triggered email from Cheetah to Mailon.,Czech Republic,13/03/2018 16:36
1 Critical,MCH-238,84408,SSP,Closed,10/10/2018 00:00,Provi Direct,Czech Republic,28/06/2017 09:40
3 Medium,MCH-2345,107118,IT,Closed,09/10/2018 00:00,test,Czech Republic,09/10/2018 08:19
3 Medium,MCH-1999,102881,SSP,Closed,09/10/2018 00:00,Add scorning info & Regata info to AgentCockpit&Fénixweb,Czech Republic,27/07/2018 11:24
2 High,MCH-2213,105894,CSC,Closed,27/09/2018 00:00,Registrace bezhotovostní zápůjčky_START_Triton ,Czech Republic,24/09/2018 12:48
2 High,MCH-2132,104284,Admin,Closed,20/09/2018 00:00,Místo role R_BANK_ACCOUNT_OZ budou dvě nové s oddělenými právy pro vkládání a změnu bankovního účtu u OZ.,Czech Republic,31/08/2018 10:13
3 Medium,MCH-2051,103131,Marketing,Closed,11/09/2018 00:00,New product Q3/2018,Czech Republic,02/08/2018 19:01
3 Medium,MCH-2119,104143,SSP,Closed,10/09/2018 00:00,New documentation for specialists,Czech Republic,30/08/2018 09:08
3 Medium,MCH-2121,104151,Credit Risk,Closed,04/09/2018 00:00,expansion ADM table of new fields,Czech Republic,30/08/2018 10:36
3 Medium,MCH-2066,103324,CSC,Closed,03/09/2018 00:00,Collections inbound - working hours + prompt,Czech Republic,09/08/2018 13:28
1 Critical,MCH-409,86039,Legal,Closed,31/08/2018 00:00,SVK Closure,Czech Republic,28/07/2017 10:28
3 Medium,MCH-2097,103849,SSP,Closed,30/08/2018 00:00,Triton - nahrání dokumentace,Czech Republic,22/08/2018 10:23
3 Medium,MCH-2104,103913,Marketing,Closed,30/08/2018 00:00,Změna délky proměné ((OZVariable)),Czech Republic,23/08/2018 15:39
3 Medium,MCH-2111,104066,IT,Closed,28/08/2018 00:00,Automatic opening file with number +420,Czech Republic,28/08/2018 16:29
3 Medium,MCH-231,84376,SSP,Closed,23/08/2018 00:00, Electronic book of journeys,Czech Republic,27/06/2017 13:59
3 Medium,MCH-2095,103847,IT,Closed,22/08/2018 00:00,emailDateTime attribute add to netlem,Czech Republic,22/08/2018 09:44
3 Medium,MCH-496,86623,Marketing,Closed,21/08/2018 00:00,Introducing a new Lead provider,Czech Republic,09/08/2017 13:08
3 Medium,MCH-2071,103481,CSC,Closed,16/08/2018 00:00,CR on affiliate import to CSC,Czech Republic,13/08/2018 13:20
2 High,MCH-1610,101163,HR,Closed,16/08/2018 00:00,evidention of agents presonal data ,Czech Republic,18/06/2018 14:20
2 High,MCH-349,85263,Legal,Closed,16/08/2018 00:00,EET - NCC,Czech Republic,19/07/2017 14:38
3 Medium,MCH-583,87941,CSC,Closed,16/08/2018 00:00,Create new priority in Triton,Czech Republic,13/09/2017 09:43
3 Medium,MCH-425,86071,CSC,Closed,03/08/2018 00:00,Change of web campagne,Czech Republic,28/07/2017 15:15
2 High,MCH-1187,97996,Marketing,Closed,01/08/2018 00:00,Pricing test sensitivity,Czech Republic,12/04/2018 09:59
3 Medium,MCH-1422,99666,Admin,Closed,01/08/2018 00:00,Corruption of Agreements after WO,Czech Republic,11/05/2018 14:07
2 High,MCH-1588,100931,Marketing,Closed,01/08/2018 00:00,Customize customer selection options into group SMS campaigns - GDPR compliance,Czech Republic,12/06/2018 13:01
2 High,MCH-359,85493,Finance,Closed,27/07/2018 00:00,NPP - Linkage of KB bank account for loan payment (TFS 6969),Czech Republic,21/07/2017 15:50
3 Medium,MCH-1919,102681,Credit Risk,Closed,27/07/2018 00:00,"Add ""Days Past Due"" calculation to FOCUS",Czech Republic,24/07/2018 08:38
3 Medium,MCH-1896,102554,SSP,Closed,25/07/2018 00:00,fw transfery to xls,Czech Republic,20/07/2018 08:43
3 Medium,MCH-304,84890,Admin,Closed,19/07/2018 00:00,Earlier Import OZ into the Triton,Czech Republic,11/07/2017 14:19
3 Medium,MCH-1573,100692,CSC,Closed,19/07/2018 00:00,Cisco finesse - gadget - zachycení zásahu OP,Czech Republic,05/06/2018 15:38
2 High,MCH-1009,94721,L&D,Closed,18/07/2018 00:00,Set up automated data upload for the upgraded LMS (Moodle). ,Czech Republic,12/02/2018 15:35
3 Medium,MCH-1843,102194,SSP,Closed,11/07/2018 00:00,nove smlouvy s OZ,Czech Republic,10/07/2018 15:40
2 High,MCH-1611,101164,Legal,Closed,04/07/2018 00:00,agent cancelation,Czech Republic,18/06/2018 14:32
3 Medium,MCH-698,90403,Marketing,Closed,04/07/2018 00:00,Promo BNPL (Buy now pay later),Czech Republic,31/10/2017 09:00
3 Medium,MCH-248,84435,Credit Risk,Closed,04/07/2018 00:00,Scoring parameters modification for NC,Czech Republic,28/06/2017 10:16
1 Critical,MCH-350,85264,Legal,Closed,25/06/2018 00:00,GDPR Day0,Czech Republic,19/07/2017 14:44
2 High,MCH-1618,101215,Legal,Closed,21/06/2018 00:00,navigator - info about withdrawn consent - change of text,Czech Republic,19/06/2018 13:58
2 High,MCH-1607,101158,Legal,Closed,21/06/2018 00:00,Triton lists for new GDPR process ,Czech Republic,18/06/2018 13:35
1 Critical,MCH-928,93349,Product,Closed,20/06/2018 00:00, Promo Product with Deferred First Payment - SASPO,Czech Republic,19/01/2018 08:58
3 Medium,MCH-1609,101162,Legal,Closed,18/06/2018 00:00,Show campagne source for CSC,Czech Republic,18/06/2018 14:14
2 High,MCH-1608,101159,Marketing,Closed,18/06/2018 00:00,activity ImportScoring,Czech Republic,18/06/2018 13:49
3 Medium,MCH-1104,96223,Marketing,Closed,14/06/2018 00:00,Display names of product components in Agent Cockpit tool  (Table  of Charges) to be  in line with Loan agreement  form valid from 31.1.2018 ,Czech Republic,13/03/2018 17:27
2 High,MCH-853,92335,SSP,Closed,14/06/2018 00:00,Adding new subcategory to Triton,Czech Republic,19/12/2017 11:39
2 High,MCH-1550,100541,Credit Risk,Closed,14/06/2018 00:00,switch off inforcoring,Czech Republic,01/06/2018 09:10
3 Medium,MCH-1593,101020,Marketing,Closed,14/06/2018 00:00,Permition to business to technical user,Czech Republic,13/06/2018 15:41
3 Medium,MCH-466,86451,Admin,Closed,14/06/2018 00:00,Report change,Czech Republic,07/08/2017 11:11
3 Medium,MCH-1244,98668,Marketing,Closed,06/06/2018 00:00,MT letters automatization,Czech Republic,26/04/2018 12:46
3 Medium,MCH-1423,99667,Other,Closed,23/05/2018 00:00,Increase of free space for database (branch N1003),Czech Republic,11/05/2018 14:11
3 Medium,MCH-1414,99633,Legal,Closed,17/05/2018 00:00,new agent contract driven by licence,Czech Republic,10/05/2018 17:20
3 Medium,MCH-1455,99862,Collection,Closed,17/05/2018 00:00,send letters to customers,Czech Republic,16/05/2018 11:55
1 Critical,MCH-1034,95087,Finance,Closed,17/05/2018 00:00,Contra transaction in SASPO - amortization statement,Czech Republic,20/02/2018 12:53
3 Medium,MCH-592,88252,CSC,Closed,17/05/2018 00:00,DIP Stage 1 Problem Technical – sending data from web form to call centre,Czech Republic,22/09/2017 14:48
2 High,MCH-486,86535,Credit Risk,Closed,15/05/2018 00:00,CIS application - optimization,Czech Republic,08/08/2017 10:25
2 High,MCH-591,88251,Admin,Closed,04/05/2018 00:00,Make fee in FOCUS Admin fee (straight line) to be non rebatable,Czech Republic,22/09/2017 13:55
3 Medium,MCH-1364,99166,Credit Risk,Closed,03/05/2018 00:00,CB monthly batch optimization ,Czech Republic,03/05/2018 11:05
4 Low,MCH-767,91047,CSC,Closed,27/04/2018 00:00,Triton - import of new categories ( TFS 7676 ),Czech Republic,15/11/2017 12:26
4 Low,MCH-483,86530,CSC,Closed,27/04/2018 00:00,"Updates of wallboardes for Service, Sales and Digital department",Czech Republic,08/08/2017 10:16
2 High,MCH-1214,98254,Collection Strategy,Closed,19/04/2018 00:00,Insolvenci sale,Czech Republic,18/04/2018 15:12
1 Critical,MCH-1194,98059,Collection Strategy,Closed,19/04/2018 00:00,Insolvency Sales _  one  off sale of debts driven by Insolvency,Czech Republic,13/04/2018 12:01
2 High,MCH-475,86508,CSC,Closed,17/04/2018 00:00,Receipt printing from Saspo ( TFS 7254 ),Czech Republic,08/08/2017 08:46
4 Low,MCH-478,86512,CSC,Closed,17/04/2018 00:00,Request for information change of returned mail ( TFS 7256 ),Czech Republic,08/08/2017 09:29
3 Medium,MCH-357,85490,CSC,Closed,17/04/2018 00:00,Triton – disabling of sending text messages notifications (TFS 5775),Czech Republic,21/07/2017 15:27
3 Medium,MCH-360,85494,SSP,Closed,16/04/2018 00:00,Fénixweb - turning off customers selling (TFS Change 6992),Czech Republic,21/07/2017 15:56
1 Critical,MCH-873,92627,Product,Closed,16/04/2018 00:00,Saspo - product changes 2018/01,Czech Republic,03/01/2018 08:51
3 Medium,MCH-735,90950,Admin,Closed,14/04/2018 00:00,Agent registration at CNB,Czech Republic,13/11/2017 14:02
3 Medium,MCH-707,90558,Marketing,Closed,14/04/2018 00:00,Allocation order change,Czech Republic,02/11/2017 15:05
3 Medium,MCH-892,92808,MI,Closed,13/04/2018 00:00,New Data Platform,Czech Republic,09/01/2018 08:59
3 Medium,MCH-1109,96263,IT,Closed,22/03/2018 00:00,"Creation default.aspx, config file for FenixWeb ",Czech Republic,14/03/2018 11:53
3 Medium,MCH-1126,96853,Credit Risk,Closed,22/03/2018 00:00,CB - online update automatization,Czech Republic,21/03/2018 15:51
3 Medium,MCH-184,84252,SSP,Closed,20/03/2018 00:00,MyTeam Drop2,Czech Republic,23/06/2017 11:50
1 Critical,MCH-706,90557,Marketing,Closed,05/03/2018 00:00,Rebates optimalization,Czech Republic,02/11/2017 15:03
3 Medium,MCH-578,87801,Marketing,Closed,28/02/2018 00:00,Amortized listing - minor repairs,Czech Republic,08/09/2017 13:34
2 High,MCH-814,91688,Marketing,Closed,14/02/2018 00:00,New product Q1/2018,Czech Republic,03/12/2017 18:41
3 Medium,MCH-885,92772,SSP,Closed,08/02/2018 00:00,for SPP create SQT Portal,Czech Republic,08/01/2018 11:31
3 Medium,MCH-179,84240,SSP,Closed,04/02/2018 00:00,MyCollection Drop2,Czech Republic,23/06/2017 10:24
3 Medium,MCH-908,93194,HR,Closed,31/01/2018 00:00,BAU DM Mobile Agent Evaluation - status reset & report,Romania,16/01/2018 09:52
3 Medium,MCH-544,87225,Operational,Closed,17/01/2018 00:00, Access to the FenixWeb - next day after entering to the Focus,Czech Republic,24/08/2017 10:12
4 Low,MCH-467,86457,SSP,Closed,17/01/2018 00:00,Disabling of sending email notifications from FenixWeb (TFS 8035),Czech Republic,07/08/2017 14:42
3 Medium,MCH-250,84464,Finance,Closed,19/12/2017 00:00,NPP in TPS ,Czech Republic,28/06/2017 11:09
2 High,MCH-485,86534,CSC,Closed,05/12/2017 00:00,Leads from Triton to be written to FW aswell ( TFS 7258 ),Czech Republic,08/08/2017 10:21
3 Medium,MCH-468,86458,Marketing,Closed,05/12/2017 00:00,"Interest rate (Cockpit, Fenix web) (TFS 8040)",Czech Republic,07/08/2017 14:54
3 Medium,MCH-358,85491,Marketing,Closed,05/12/2017 00:00,filtering paid-up customers leads from CC (TFS 5780),Czech Republic,21/07/2017 15:30
2 High,MCH-112,83943,Marketing,Closed,22/11/2017 00:00,Product changes 2017Q2,Czech Republic,15/06/2017 11:32
3 Medium,MCH-630,89520,Operational,Closed,20/11/2017 00:00,Leads at night hours ,Czech Republic,05/10/2017 14:46
4 Low,MCH-480,86519,CSC,Closed,20/11/2017 00:00,Consolidated report for service department,Czech Republic,08/08/2017 09:56
4 Low,MCH-481,86525,CSC,Closed,20/11/2017 00:00,Finesse - League table,Czech Republic,08/08/2017 10:04
4 Low,MCH-490,86553,CSC,Closed,15/11/2017 00:00,Triton - import of new categories ( TFS 7676 ),Czech Republic,08/08/2017 12:08
3 Medium,MCH-647,89648,Admin,Closed,09/11/2017 00:00,Entering a new addition to the Triton,Czech Republic,10/10/2017 13:09
4 Low,MCH-470,86461,SSP,Closed,07/11/2017 00:00,Adding phone number into phone number column (TFS 8113),Czech Republic,07/08/2017 15:15
2 High,MCH-491,86558,Marketing,Closed,03/11/2017 00:00,Lead Management - Call Prioritisation Based on Propensity ton buy ( TFS 7743 ),Czech Republic,08/08/2017 12:50
3 Medium,MCH-543,87175,Credit Risk,Closed,31/10/2017 00:00,Automate the generation of monthly principle,Czech Republic,23/08/2017 13:07
3 Medium,MCH-275,84589,SSP,Closed,31/10/2017 00:00,"Triton: received dismissal evidence, cancellation term counter, change of reporting settings",Czech Republic,30/06/2017 15:19
2 High,MCH-373,85568,Credit Risk,Closed,30/10/2017 00:00,Change of Online Credit Bureau call (inquiry),Czech Republic,24/07/2017 15:41
3 Medium,MCH-391,85973,Marketing,Closed,30/10/2017 00:00,We require a campaign to be change from XS Web Requests to Web Requests for one of our affiliates VOLSOR,Czech Republic,27/07/2017 09:54
3 Medium,MCH-537,87122,CSC,Closed,24/10/2017 00:00,Adding Zip Code to Customer Card in Triton ( TASK0043632 ) ,Czech Republic,22/08/2017 12:48
3 Medium,MCH-514,86809,CSC,Closed,24/10/2017 00:00,Creating new campaign - WEB_PILOT_CZ,Czech Republic,14/08/2017 11:47
2 High,MCH-472,86469,Finance,Closed,24/10/2017 00:00,change in automatic marking of payments with label 'Zuctovani záporných uroku' in SASPO (TFS 8163),Czech Republic,07/08/2017 15:48
1 Critical,MCH-618,89435,SSP,Closed,10/10/2017 00:00,MyProvi - Drop 2.5,Czech Republic,04/10/2017 09:06
1 Critical,MCH-617,89434,SSP,Closed,10/10/2017 00:00,MyProvi - Drop 2.5,Czech Republic,04/10/2017 09:02
1 Critical,MCH-616,89433,SSP,Closed,04/10/2017 00:00,MyProvi - Drop 2.5,Czech Republic,04/10/2017 09:01
2 High,MCH-469,86459,SSP,Closed,02/10/2017 00:00,Summary screen before sending scoring (TFS 8078),Czech Republic,07/08/2017 15:01
3 Medium,MCH-471,86462,SSP,Closed,20/09/2017 00:00,call history database of mobile network operator O2 (TFS 8135),Czech Republic,07/08/2017 15:33
4 Low,MCH-473,86470,SSP,Closed,20/09/2017 00:00,Change of interface for deputization in Fenixweb (TFS 8167),Czech Republic,07/08/2017 15:54
3 Medium,MCH-559,87523,CSC,Closed,01/09/2017 00:00,adding Media type in CZ Triton,Czech Republic,31/08/2017 15:40
2 High,MCH-482,86526,Collection Strategy,Closed,24/08/2017 00:00,Job time change for Table_CCP ( TFS 7257 ),Czech Republic,08/08/2017 10:04
3 Medium,MCH-522,86952,IT,Closed,23/08/2017 00:00,Internet access from servers DEVCZ-WSAPPCZ & DEVCZ-BIZTALK ( SNOW TASK0043329 ),Czech Republic,17/08/2017 11:51
3 Medium,MCH-524,86955,IT,Closed,23/08/2017 00:00,Creating Accesses for testing Cockpit App,Czech Republic,17/08/2017 12:22
3 Medium,MCH-523,86954,IT,Closed,23/08/2017 00:00,"Creating of test environment DEVCZ, TST2 & STG",Czech Republic,17/08/2017 12:01
4 Low,MCH-477,86511,Credit Risk,Closed,21/08/2017 00:00,Unify Agent Id,Czech Republic,08/08/2017 09:14
3 Medium,MCH-260,84550,Collection,Closed,04/08/2017 00:00,Pairing of Agents Payments ,Czech Republic,29/06/2017 15:12
3 Medium,MCH-240,84422,IT,Closed,31/07/2017 00:00,Insolvency Redesign,Czech Republic,28/06/2017 09:51
3 Medium,MCH-220,84333,SSP,Closed,30/06/2017 00:00,Filtering in Agent's Agreements,Czech Republic,26/06/2017 13:57
3 Medium,MCH-144,84052,SSP,Closed,30/06/2017 00:00,Type of agent cancelation in Triton,Czech Republic,19/06/2017 15:21
3 Medium,MCH-198,84283,CSC,Closed,28/06/2017 00:00,Campaign customization in SASPO,Czech Republic,23/06/2017 16:37
